county,year,count
Alcona,2016,5
Alger,2016,1
Allegan,2016,8
Alpena,2016,11
Antrim,2016,2
Arenac,2016,3
Baraga,2016,0
Barry,2016,6
Bay,2016,21
Benzie,2016,3
Berrien,2016,13
Branch,2016,8
Calhoun,2016,40
Cass,2016,0
Charlevoix,2016,1
Cheboygan,2016,4
Chippewa,2016,1
Clare,2016,3
Clinton,2016,14
Crawford,2016,2
Delta,2016,2
Dickinson,2016,2
Eaton,2016,23
Emmet,2016,4
Genesee,2016,103
Gladwin,2016,3
Gogebic,2016,1
Grand Forks,2016,1
Grand Traverse,2016,8
Gratiot,2016,6
Hillsdale,2016,14
Houghton,2016,2
Huron,2016,9
Ingham,2016,94
Ionia,2016,7
Iosco,2016,4
Iron,2016,1
Isabella,2016,15
Jackson,2016,100
Kalamazoo,2016,33
Kalkaska,2016,1
Kent,2016,30
Lake,2016,2
Lapeer,2016,16
Leelanau,2016,1
Lenawee,2016,66
Lincoln,2016,1
Livingston,2016,154
Luce,2016,1
Mackinac,2016,2
Macomb,2016,109
Manistee,2016,0
Marquette,2016,5
Mason,2016,4
Mecosta,2016,2
Menominee,2016,0
Midland,2016,25
Missaukee,2016,2
Monroe,2016,76
Montcalm,2016,8
Montmorency,2016,0
Muskegon,2016,34
Newaygo,2016,5
Oakland,2016,327
Oceana,2016,4
Ogemaw,2016,5
Ontonagon,2016,0
Osceola,2016,1
Oscoda,2016,1
Otsego,2016,4
Ottawa,2016,25
Presque Isle,2016,0
Roscommon,2016,2
Saginaw,2016,51
Saint Clair,2016,2
Sanilac,2016,5
Schoolcraft,2016,1
Shiawassee,2016,21
St Clair,2016,18
St Joseph,2016,7
Tuscola,2016,17
Van Buren,2016,12
Washtenaw,2016,578
Wayne,2016,571
Wexford,2016,2
unknown,2016,71
Alcona,2017,5
Alger,2017,1
Allegan,2017,8
Alpena,2017,10
Antrim,2017,3
Arenac,2017,6
Baraga,2017,0
Barry,2017,10
Bay,2017,26
Benzie,2017,8
Berrien,2017,19
Branch,2017,13
Calhoun,2017,47
Cass,2017,1
Charlevoix,2017,2
Cheboygan,2017,7
Chippewa,2017,2
Clare,2017,8
Clinton,2017,21
Crawford,2017,5
Delta,2017,1
Dickinson,2017,1
Eaton,2017,38
Emmet,2017,7
Genesee,2017,144
Gladwin,2017,6
Gogebic,2017,0
Grand Forks,2017,1
Grand Traverse,2017,16
Gratiot,2017,10
Hillsdale,2017,19
Houghton,2017,2
Huron,2017,9
